text,start,end
Lasst,0.0,0.68
den,0.68,0.86
ersten,0.86,1.38
Zeugen,1.38,1.9
"eintreten,",1.9,2.68
sagte,2.88,3.64
der,3.64,3.84
"König,",3.84,4.32
worauf,4.54,5.2
das,5.2,5.4
Kaninchen,5.4,5.92
dreimal,5.92,6.34
in,6.34,6.54
die,6.54,6.66
Trompete,6.66,7.16
blies,7.16,7.44
und,7.44,7.62
"ausrief,",7.62,8.18
erster,8.62,9.02
Zeuge.,9.02,9.62
Der,10.84,11.06
erste,11.06,11.36
Zeuge,11.36,11.78
war,11.78,12.04
der,12.04,12.18
Hutmacher.,12.18,12.66
Er,13.06,13.6
kam,13.6,13.82
"herein,",13.82,14.28
eine,14.44,14.62
Tasse,14.62,14.92
in,14.92,15.08
der,15.08,15.18
Hand,15.18,15.46
und,15.46,15.7
in,15.7,15.82
der,15.82,15.96
anderen,15.96,16.28
ein,16.28,16.8
Stück,16.8,17.06
"Butterbrot,",17.06,17.74
haltend.,18.06,18.44
Ich,19.62,19.84
bitte,19.84,20.16
um,20.16,20.3
"Verzeihung,",20.3,20.96
Eure,21.32,21.5
"Majestät,",21.5,22.14
dass,22.46,22.7
ich,22.7,22.84
das,22.84,23.02
"mitbringe,",23.02,23.5
aber,23.94,24.36
ich,24.36,24.5
war,24.5,24.66
nicht,24.66,24.82
ganz,24.82,25.1
fertig,25.1,25.46
mit,25.46,25.68
meinem,25.68,25.92
"Tee,",25.92,26.32
als,26.84,27.02
nach,27.02,27.2
mir,27.2,27.36
geschickt,27.36,27.7
wurde.,27.7,28.02
Du,30.1,30.34
hättest,30.34,30.96
aber,30.96,31.52
damit,31.52,31.84
fertig,31.84,32.24
sein,32.24,32.5
"sollen,",32.5,32.86
sagte,33.22,33.92
der,33.92,34.12
König.,34.12,34.56
Wann,35.08,35.44
hast,35.44,35.76
du,35.76,35.92
damit,35.92,36.18
angefangen?,36.18,36.8
Der,37.9,38.24
Hutmacher,38.24,38.76
sah,38.76,39.1
nach,39.1,39.32
dem,39.32,39.5
"Faselhasen,",39.5,40.32
der,40.78,41.18
mit,41.18,41.38
ihm,41.38,41.6
ins,41.6,41.82
Gerichtssaal,41.82,42.4
gefolgt,42.4,42.9
"war,",42.9,43.16
armenarm,44.02,44.52
mit,44.52,44.7
dem,44.7,44.84
Murmeltier.,44.84,45.36
Vierzehnten,46.68,47.34
"März,",47.34,47.82
glaube,48.06,48.62
"ich,",48.62,48.96
war,49.4,49.62
"es,",49.62,49.94
sagte,50.38,50.7
der.,50.7,50.98
"Fünfzehnten,",51.94,53.0
sagte,53.64,54.24
der,54.24,54.46
Faselhase.,54.46,55.16
"Sechzehnten,",55.96,56.84
fügte,57.54,57.88
das,57.88,58.08
Murmeltier,58.08,58.56
hinzu.,58.56,58.94
Nimm,59.68,60.06
das,60.06,60.4
zum,60.4,60.72
"Protokoll,",60.72,61.42
sagte,61.68,62.2
der,62.2,62.42
König,62.42,62.78
zu,62.78,62.92
dem,62.92,63.08
"Geschworenen,",63.08,63.6
und,63.92,64.18
die,64.18,64.3
Geschworenen,64.3,64.8
schrieben,64.8,65.14
eifrig,65.14,65.66
die,65.66,65.86
drei,65.86,66.06
Daten,66.06,66.38
auf,66.38,66.58
ihre,66.58,66.74
"Tafeln,",66.74,67.22
addierten,67.54,68.06
sie,68.06,68.26
dann,68.26,68.46
und,68.46,68.7
machten,68.7,69.06
die,69.06,69.16
Summe,69.16,69.4
zu,69.4,69.6
Groschen,69.6,69.98
und,69.98,70.24
Pfennigen.,70.24,70.62
Nimm,72.26,72.62
deinen,72.62,72.92
Hut,72.92,73.32
"ab,",73.32,73.7
sagte,74.08,74.62
der,74.62,74.84
König,74.84,75.18
zum,75.18,75.36
Hutmacher.,75.36,75.9
Es,76.96,77.2
ist,77.2,77.36
nicht,77.36,77.62
"meiner,",77.62,77.96
sagte,78.62,78.98
der,78.98,79.2
Hutmacher.,79.2,79.66
"Gestohlen,",80.56,81.74
rief,82.1,82.6
der,82.6,82.78
König,82.78,83.12
zu,83.12,83.26
