text,start,end
Proszę,0.0,0.58
wezwać,0.58,0.98
pierwszego,0.98,1.44
świadka.,1.44,1.9
Zmitykował,2.66,3.34
się,3.34,3.54
król.,3.54,3.9
Królik,4.6,5.02
zatrąbił,5.02,5.62
trzy,5.62,5.84
razy,5.84,6.28
i,6.28,6.44
zawołał.,6.44,7.0
Pierwszy,7.36,7.74
świadek!,7.74,8.28
Pierwszym,9.62,10.14
świadkiem,10.14,10.54
był,10.54,10.78
bezdenny,10.78,11.36
kapelusznik.,11.36,12.04
Stanął,12.72,13.16
przez,13.16,13.36
sądem,13.36,13.76
z,13.76,13.92
filiżanką,13.92,14.46
herbaty,14.46,15.02
w,15.02,15.14
jednej,15.14,15.44
ręce,15.44,15.83
i,15.83,16.08
kromką,16.08,16.46
chleba,16.46,16.8
z,16.8,16.96
masłem,16.96,17.28
w,17.28,17.42
drugiej.,17.42,17.68
Wasza,18.36,18.72
wysokość,18.72,19.26
"daruje,",19.26,19.7
że,19.84,20.44
przychodzę,20.44,21.06
z,21.06,21.2
tym,21.2,21.44
i,21.44,21.7
"owym,",21.7,22.04
ale,22.66,23.04
przysłano,23.04,24.62
po,24.62,24.86
mnie,24.86,25.16
w,25.16,26.3
trakcie,26.3,26.96
podwieczorku.,26.96,28.14
Trzeba,29.08,29.44
byłoby,29.44,29.8
zjeść,29.8,30.16
"wcześniej,",30.16,30.66
pouczył,31.06,31.56
go,31.56,31.7
król.,31.7,32.0
Kiedy,32.62,32.94
świadek,32.94,33.34
zaczął?,33.34,33.74
Bezdenny,34.52,35.18
kapelusznik,35.18,35.86
zerknął,35.86,36.36
na,36.36,36.46
postrzelonego,36.46,37.2
"zajączka,",37.2,37.82
który,38.18,38.48
towarzyszył,38.48,39.74
mu,39.74,40.0
do,40.0,40.2
"sądu,",40.2,40.66
ramię,40.8,41.12
w,41.12,41.34
ramię,41.34,41.62
z,41.62,41.82
susłem.,41.82,42.2
14,42.86,43.38
"marca,",43.38,44.02
jeśli,44.22,45.04
się,45.04,45.28
nie,45.28,45.46
"mylę,",45.46,45.86
odpowiedział.,46.16,46.8
15,47.22,47.72
poprawił,47.72,48.52
go,48.52,48.64
postrzelony,48.64,49.22
zajączek.,49.22,49.76
16,50.0,50.58
skorygował,50.58,51.64
susę.,51.64,52.04
Proszę,52.98,53.6
"zaprotokołować,",53.6,55.44
zwrócił,55.98,56.48
się,56.48,56.62
król,56.62,56.9
do,56.9,57.02
ławników.,57.02,57.48
Ci,57.98,58.2
zaś,58.2,58.58
skrzętnie,58.58,59.14
zanotowali,59.14,59.92
na,59.92,60.1
tabliczkach,60.1,60.64
wszystkie,60.64,61.04
trzy,61.04,61.28
"daty,",61.28,61.48
błyskawicznie,61.96,62.92
je,62.92,63.06
"zsumowali,",63.06,63.82
a,64.22,64.36
