text,start,end
—,0.0,0.02
Позвать,0.02,0.5
первого,0.5,0.98
"свидетеля,",0.98,1.62
—,1.74,1.78
приказал,1.78,2.24
король.,2.24,2.62
И,3.0,3.18
"кролик,",3.18,3.64
трижды,3.72,4.08
"протрубив,",4.08,4.72
"выкрикнул,",4.82,5.32
—,5.52,5.78
Первый,5.78,6.32
свидетель!,6.32,7.14
Первым,7.8,8.22
свидетелем,8.22,8.94
оказался,8.94,9.66
Шляпник.,9.66,10.26
Он,10.8,11.06
"подошел,",11.06,11.66
держа,11.74,12.04
в,12.04,12.12
одной,12.12,12.32
руке,12.32,12.64
чашку,12.64,13.12
с,13.12,13.26
"чаем,",13.26,13.68
в,14.0,14.12
другой,14.12,14.5
—,14.6,14.72
ломоть,14.72,15.1
хлеба,15.1,15.62
с,15.62,15.74
маслом.,15.74,16.16
—,16.92,17.0
Прошу,17.0,17.42
"прощения,",17.42,18.08
ваше,18.2,18.4
"величество,",18.4,18.96
—,18.98,19.0
сказал,19.0,19.28
"он,",19.28,19.5
—,19.84,19.88
я,19.88,20.1
не,20.1,20.32
успел,20.32,20.66
закончить,20.66,21.2
"чаепитие,",21.2,21.88
когда,21.98,22.12
за,22.12,22.28
мной,22.28,22.44
прислали.,22.44,23.08
—,23.34,23.98
Следовало,23.98,24.56
бы,24.56,24.7
"закончить,",24.7,25.4
—,25.54,25.56
заметил,25.56,25.96
король.,25.96,26.38
А,26.72,26.94
когда,26.94,27.2
же,27.2,27.46
ты,27.46,27.6
начал?,27.6,28.02
Шляпник,29.28,29.36
поглядел,29.36,29.78
на,29.78,29.94
мартовского,29.94,30.52
"зайца,",30.52,31.04
который,31.22,31.5
стоял,31.5,32.02
около,32.02,32.4
него,32.42,32.66
под,32.66,32.94
ручку,32.94,33.4
соней.,33.4,33.88
—,34.44,34.54
"Кажется,",34.54,35.16
четырнадцатого,35.56,36.72
"марта,",36.72,37.38
—,37.52,37.58
ответил,37.58,38.04
он.,38.04,38.2
—,38.58,38.66
"По-моему,",38.66,39.1
"пятнадцатого,",39.2,39.96
—,40.26,40.3
возразил,40.3,40.82
мартовский,40.82,41.39
заяц.,41.39,41.86
—,42.2,42.26
А,42.26,42.42
"по-моему,",42.42,43.04
"шестнадцатого,",43.2,44.1
—,44.24,44.4
добавила,44.4,44.96
соня.,44.96,45.38
—,45.58,45.92
