text,start,end
Alice,0.0,0.58
aprì,0.58,0.94
la,0.94,1.06
porta,1.06,1.5
e,1.5,1.76
scoprì,1.76,2.16
che,2.16,2.28
dava,2.28,2.58
in,2.58,2.74
un,2.74,2.88
piccolo,2.88,3.26
"corridoio,",3.26,4.06
non,4.38,4.62
molto,4.62,4.94
più,4.94,5.12
ampio,5.12,5.48
della,5.48,5.68
tana,5.68,5.96
di,5.96,6.08
un,6.08,6.22
topo.,6.22,6.7
Si,7.06,7.26
inginocchiò,7.26,7.96
e,7.96,8.52
pote,8.52,8.74
scorgere,8.74,9.34
in,9.34,9.5
fondo,9.5,9.82
all'angusto,9.82,10.36
passaggio,10.36,11.04
il,11.04,11.6
giardino,11.6,12.12
più,12.12,12.32
incantevole,12.32,13.12
che,13.12,13.24
avesse,13.24,13.6
mai,13.6,13.78
visto.,13.78,14.18
Come,14.9,15.3
avrebbe,15.3,15.6
voluto,15.6,15.98
uscire,15.98,16.4
da,16.4,16.56
quell'altro,16.56,17.12
cupo,17.12,17.58
e,17.58,18.14
passeggiare,18.14,18.8
fra,18.8,19.0
le,19.0,19.16
aiuole,19.16,19.54
di,19.54,19.72
fiori,19.72,20.0
variopinti,20.0,20.78
e,20.78,21.24
quelle,21.24,21.44
fresche,21.44,21.8
"fontanelle,",21.8,22.54
ma,23.0,23.2
non,23.2,23.34
riusciva,23.34,23.8
neppure,23.8,24.24
a,24.24,24.34
infilare,24.34,24.78
la,24.78,24.94
testa,24.94,25.28
attraverso,25.28,25.74
la,25.74,25.9
porta.,25.9,26.28
E,27.28,27.42
anche,27.42,27.68
se,27.68,27.8
ci,27.8,27.92
passasse,27.92,28.38
la,28.38,28.54
"testa,",28.54,29.02
pensava,29.16,29.76
la,29.76,29.92
povera,29.92,30.28
"Alice,",30.28,30.66
servirebbe,31.12,31.7
a,31.7,31.84
ben,31.84,31.94
poco,31.94,32.28
senza,32.28,32.58
le,32.58,32.76
spalle.,32.76,33.2
"Oh,",34.06,34.34
come,34.72,34.94
mi,34.94,35.08
piacerebbe,35.08,35.66
accorciarmi,35.66,36.38
come,36.38,36.54
un,36.54,36.68
telescopio!,36.68,37.38
Penso,37.86,38.34
che,38.34,38.5
potrei,38.5,38.82
riuscirci,38.82,39.38
se,39.38,39.56
solo,39.56,39.76
sapessi,39.76,40.22
come,40.22,40.42
incominciare.,40.42,41.14
Erano,41.82,42.22
"infatti,",42.22,42.8
capitate,43.1,43.66
di,43.66,43.84
recente,43.84,44.3
tante,44.3,44.68
cose,44.68,45.1
fuori,45.1,45.44
dal,45.44,45.64
"normale,",45.64,46.12
che,46.64,46.76
Alice,46.76,47.08
cominciava,47.08,47.7
a,47.7,47.78
ritenere,47.78,48.16
veramente,48.16,48.6
impossibili,48.6,49.36
soltanto,49.36,49.9
pochissime,49.9,50.5
cose.,50.5,50.9
Sembrava,52.06,52.56
proprio,52.56,52.88
inutile,52.88,53.32
rimanere,53.32,53.8
ad,53.8,53.92
aspettare,53.92,54.48
davanti,54.48,54.94
alla,54.94,55.1
"porticina,",55.1,55.84
perciò,56.44,56.88
ritornò,56.88,57.38
al,57.38,57.5
"tavolo,",57.5,57.98
sperando,58.32,58.88
quasi,58.88,59.28
di,59.28,59.42
trovarci,59.42,60.02
un'altra,60.02,60.64
chiave,60.64,61.02
"sopra,",61.02,61.48
o,61.92,62.06
almeno,62.06,62.5
un,62.5,62.76
libro,62.76,63.0
di,63.0,63.18
istruzioni,63.18,63.82
sul,63.82,64.06
modo,64.06,64.3
di,64.3,64.44
raccorciare,64.44,65.02
la,65.02,65.18
gente,65.18,65.52
come,65.52,65.78
i,65.78,65.92
telescopi.,65.92,66.53
Questa,66.53,67.76
volta,67.76,68.14
ci,68.14,68.36
trovò,68.36,68.6
una,68.6,68.8
bottiglietta.,68.8,69.6
Prima,70.28,70.78
non,70.78,70.98
c'era,70.98,71.2
di,71.2,71.38
"sicuro,",71.38,71.88
disse,72.06,72.34
"Alice,",72.34,72.88
con,73.4,73.8
un'etichetta,73.8,74.4
intorno,74.4,74.92
che,74.92,75.12
diceva,75.12,75.62
"Bevimi,",75.62,76.18
in,76.64,76.84
caratteri,76.84,77.32
grandi,77.32,77.72
e,77.72,77.86
ben,77.86,77.98
stampati.,77.98,78.62
Era,80.26,80.52
facile,80.52,81.0
dire,81.0,81.38
"Bevimi,",81.38,82.04
ma,82.34,82.62
la,82.62,82.78
piccola,82.78,83.2
e,83.2,83.32
saggia,83.32,83.68
Alice,83.68,84.04
non,84.04,84.26
lo,84.26,84.4
avrebbe,84.4,84.68
certo,84.68,85.08
fatto,85.08,85.48
in,85.48,85.64
fretta,85.64,85.94
e,85.94,86.04
furia.,86.04,86.42
"No,",87.0,87.28
prima,87.6,87.92
do,87.92,88.08
"un'occhiata,",88.08,88.8
"disse,",88.96,89.42
per,89.92,90.18
vedere,90.18,90.54
se,90.54,90.72
c'è,90.72,90.88
scritto,90.88,91.26
veleno,91.26,91.78
o,91.78,92.02
no.,92.02,92.2
Aveva,92.86,93.24
infatti,93.24,93.68
letto,93.68,94.12
un,94.12,94.26
sacco,94.26,94.56
di,94.56,94.72
storielline,94.72,95.3
"graziose,",95.3,96.12
a,96.4,96.58
proposito,96.58,97.08
di,97.08,97.24
bambini,97.24,97.64
bruciati,97.64,98.26
o,98.26,98.4
divorati,98.4,98.84
dalle,98.84,99.08
bestie,99.08,99.46
"feroci,",99.46,100.02
e,100.46,100.66
molte,100.66,101.0
altre,101.0,101.32
cose,101.32,101.6
"spiacevoli,",101.6,102.3
sempre,102.86,103.2
perché,103.2,103.54
non,103.54,103.74
avevano,103.74,104.14
voluto,104.14,104.58
ricordare,104.58,105.16
quelle,105.16,105.38
semplici,105.38,105.94
norme,105.94,106.26
di,106.26,106.4
prudenza,106.4,106.92
impartite,106.92,107.46
loro,107.46,107.72
dagli,107.72,107.98
"amici,",107.98,108.36
per,108.94,109.16
"esempio,",109.16,109.6
che,110.3,110.7
un,110.7,110.82
attizzatoio,110.82,111.38
rovente,111.38,111.9
vi,111.9,112.06
brucerà,112.06,112.62
se,112.62,112.78
lo,112.78,112.84
reggete,112.84,113.22
troppo,113.22,113.54
a,113.54,113.64
lungo,113.64,113.94
in,113.94,114.08
"mano,",114.08,114.36
e,115.46,115.64
che,115.64,115.78
se,115.78,115.98
vi,115.98,116.1
tagliate,116.1,116.56
un,116.56,116.7
dito,116.7,116.98
molto,116.98,117.28
in,117.28,117.42
profondità,117.42,117.92
con,117.92,118.12
un,118.12,118.28
"coltello,",118.28,118.88
quello,119.28,119.48
di,119.48,119.64
solito,119.64,119.98
sanguina.,119.98,120.48
"Lei,",121.52,121.82
"inoltre,",122.0,122.32
non,122.42,122.52
aveva,122.52,122.82
mai,122.82,123.02
scordato,123.02,123.64
che,123.64,123.82
se,123.82,124.0
si,124.0,124.16
beve,124.16,124.42
tanto,124.42,124.78
da,124.78,124.92
una,124.92,125.06
