text,start,end
هناك,0.0,0.64
أبواب,0.64,1.06
حول,1.06,1.36
القاعة,1.36,1.8
كلها,1.8,2.26
لكن,2.8,3.08
كانت,3.08,3.5
الأبواب,3.5,3.86
كلها,3.86,4.18
مقفلة,4.18,4.66
وعندما,5.26,5.62
شاذت,5.62,6.12
أليس,6.12,6.58
جانب,6.58,7.22
القاعة,7.22,7.66
كلها,7.66,8.09
وعادت,8.09,8.54
من,8.54,8.68
الجانب,8.68,9.12
الآخر,9.12,9.6
وهي,10.06,10.34
تجرب,10.34,10.7
فتح,10.7,11.0
كل,11.0,11.24
باب,11.24,11.64
أخذت,11.94,12.38
تمشي,12.38,12.66
بحزن,12.66,13.02
نزولا,13.02,13.48
في,13.48,13.58
الوسط,13.58,14.06
متسائلة,14.3,15.02
كيف,15.02,15.6
عاستها,15.6,16.04
أن,16.04,16.22
تخرج,16.22,16.52
ثانية,16.52,17.0
فجأة,18.52,19.08
وجدت,19.08,19.84
منضطة,19.84,20.36
صغيرة,20.36,20.86
بثلاثة,21.04,21.76
سيقان,21.76,22.32
كلها,22.32,22.8
مصنوعة,22.8,23.26
من,23.26,23.42
الزجاج,23.42,23.86
القوي,23.86,24.32
لم,25.0,25.18
يكن,25.18,25.42
عليها,25.42,25.8
شيء,25.8,26.06
سوى,26.06,26.32
مفتاح,26.32,26.72
ذهبي,26.72,27.5
صغير,27.5,28.02
وكانت,29.24,29.68
أول,29.68,29.92
فكرة,29.92,30.22
تخطر,30.22,30.58
لأليس,30.58,30.98
أنه,30.98,31.32
مفتاح,31.32,31.84
أحد,31.84,32.18
أبواب,32.18,32.58
القاعة,32.58,33.06
لكن,33.28,33.62
وآسفاه,33.62,34.48
إما,35.26,35.52
الأقفال,35.52,36.0
هي,36.0,36.18
كبيرة,36.18,36.64
جدا,36.64,37.14
أو,37.64,37.84
أن,37.84,38.1
المفتاح,38.1,38.82
هو,38.82,39.1
صغير,39.1,39.46
جدا,39.46,39.88
لكن,40.48,40.84
على,40.84,41.12
أي,41.12,41.34
حال,41.34,41.74
فهو,41.74,42.4
لن,42.4,42.62
يفتح,42.62,42.96
أي,42.96,43.2
منهم,43.2,43.68
لكن,44.26,44.64
عند,44.64,45.3
الجولة,45.3,45.78
الثانية,45.78,46.3
وجدت,46.76,47.26
ستارة,47.26,47.66
منخفضة,47.66,48.22
لم,48.22,48.46
تراحب,48.46,48.94
وجودها,48.94,49.36
من,49.36,49.52
قبل,49.52,49.86
ووراءها,50.28,51.06
يوجد,51.06,51.52
باب,51.52,51.76
صغير,51.76,52.26
بارتفاع,52.26,53.02
15,53.02,53.56
بوصة,53.56,54.16
جربت,54.8,55.26
وضع,55.26,55.48
المفتاح,55.48,55.84
الذهبي,55.84,56.3
الصغير,56.3,56.72
في,56.72,56.86
القفل,56.86,57.28
ورأت,57.62,58.0
شدة,58.0,58.3
فرحها,58.3,58.94
إذ,58.94,59.48
كان,59.48,59.66
مناسبا,59.66,60.26
