text,start,end
बगीचे,0.0,0.52
के,0.52,0.68
प्रवेश,0.68,1.18
द्वार,1.18,1.58
के,1.58,1.74
नज़दीक,1.74,2.4
ही,2.4,2.54
गुलाब,2.54,3.04
का,3.04,3.22
एक,3.22,3.36
बड़ा,3.36,3.72
पेड़,3.72,4.14
था,4.14,4.38
इनमें,5.0,5.42
सफेद,5.42,5.96
गुलाब,5.96,6.4
लगे,6.4,6.7
थे,6.7,6.98
पर,6.98,7.56
तीन,7.56,7.92
खाली,7.92,8.44
माली,8.44,8.9
इनकी,8.9,9.38
पंखुडियों,9.38,10.12
को,10.12,10.3
लाल,10.3,10.72
रंग,10.72,10.98
से,10.98,11.16
रंगने,11.16,11.6
में,11.6,11.76
व्यास्त,11.76,12.24
थे,12.24,12.54
अलिस,13.32,13.78
को,13.78,13.92
ये,13.92,14.08
बहुत,14.08,14.38
अजीब,14.38,14.86
लगा,14.86,15.26
और,15.26,15.82
वे,15.82,16.02
उनका,16.02,16.44
काम,16.44,16.8
देखने,16.8,17.3
के,17.3,17.5
लिए,17.5,17.74
पेड़,17.74,18.44
के,18.44,18.58
नज़दीक,18.58,19.1
जैसे,19.1,19.54
ही,19.54,19.66
जाने,19.66,20.06
लगी,20.06,20.42
उसने,20.42,21.22
उनमें,21.22,21.6
से,21.6,21.82
एक,21.82,22.26
को,22.26,22.42
कहते,22.42,22.86
सुना,22.86,23.17
ध्यान,23.17,24.3
से,24.3,24.48
पंजे,24.48,24.96
मेरे,24.96,25.72
उपर,25.72,26.06
इस,26.06,26.38
तरह,26.38,26.72
से,26.72,26.94
रंग,26.94,27.34
मत,27.34,27.68
छलकाओ,27.68,28.32
मैंने,29.12,29.5
कुछ,29.5,29.72
नहीं,29.72,30.0
किया,30.0,30.4
पंजा,30.4,31.0
बोला,31.0,31.4
सत्य,31.74,32.16
ने,32.16,32.38
मेरी,32.38,32.7
कोणी,32.7,33.18
पर,33.18,33.38
ठोका,33.38,33.9
माट,33.9,34.2
दिया,34.2,34.48
