text,start,end
Perto,0.0,0.66
da,0.66,0.82
entrada,0.82,1.12
do,1.12,1.28
"jardim,",1.28,1.78
estava,2.02,2.32
uma,2.32,2.5
grande,2.5,2.74
roseira,2.74,3.24
com,3.24,3.52
rosas,3.52,3.84
brancas.,3.84,4.28
Mas,4.92,5.14
havia,5.14,5.36
três,5.36,5.62
"jardineiros,",5.62,6.24
muito,6.46,7.0
atarafados,7.0,7.62
a,7.62,7.8
pintarem-nas,7.8,8.44
de,8.44,8.62
vermelho.,8.62,9.06
Alice,10.1,10.4
achou,10.4,10.82
que,10.82,11.12
aquilo,11.12,11.42
era,11.42,11.68
assaz,11.68,12.22
curioso,12.22,12.8
e,12.8,13.26
aproximou-se,13.26,14.2
para,14.2,14.4
os,14.4,14.74
observar.,14.74,15.32
Ao,16.34,16.52
chegar,16.52,16.78
"perto,",16.78,17.24
ouvi,17.42,17.62
um,17.62,17.76
deles,17.76,18.0
a,18.0,18.18
"dizer,",18.18,18.42
—,19.16,19.24
Toma,19.24,19.54
"atenção,",19.54,19.88
cinco!,20.08,20.34
Não,20.66,21.06
entornes,21.06,21.66
essa,21.66,21.9
tinta,21.9,22.26
por,22.26,22.48
cima,22.48,22.66
de,22.66,22.84
mim!,22.84,22.98
—,23.98,24.06
Não,24.06,24.24
tive,24.24,24.44
a,24.44,24.6
culpa!,24.6,24.9
—,25.14,25.26
respondeu,25.26,25.62
o,25.62,25.76
"cinco,",25.76,26.02
melindrado.,26.3,26.88
O,27.82,28.0
sete,28.0,28.36
deu-me,28.36,28.7
um,28.7,28.84
sanafão,28.84,29.28
no,29.28,29.42
cotovelo.,29.42,29.96
"Nisto,",31.52,31.9
o,32.1,32.26
sete,32.26,32.52
levantou,32.52,33.0
os,33.0,33.14
olhos,33.14,33.34
e,33.34,33.52
"disse,",33.52,33.82
—,34.94,35.04
Está-se,35.04,35.5
mesmo,35.5,35.8
a,35.8,35.98
"ver,",35.98,36.14
cinco?,36.24,36.56
Sempre,37.08,37.58
a,37.58,37.76
atirar,37.76,38.24
as,38.24,38.52
culpas,38.52,38.88
para,38.88,39.08
cima,39.08,39.28
dos,39.28,39.5
outros.,39.5,39.82
—,41.1,41.22
Olha,41.22,41.38
quem,41.38,41.58
fala!,41.58,41.92
—,42.02,42.08
disse,42.08,42.18
o,42.18,42.32
cinco.,42.32,42.6
—,43.1,43.24
Ainda,43.24,43.46
ontem,43.46,43.92
ouvi,43.92,44.2
a,44.2,44.34
rainha,44.34,44.7
dizer,44.7,45.0
que,45.0,45.24
merecia,45.24,45.66
ser,45.66,45.84
decapitado.,45.84,46.56
—,47.36,47.42
Por,47.42,47.64
quê?,47.64,47.84
—,48.2,48.38
perguntou,48.38,48.76
aquele,48.76,48.98
que,48.98,49.14
falara,49.14,49.46
primeiro.,49.46,49.84
—,50.7,50.76
Não,50.76,50.94
é,50.94,51.06
da,51.06,51.16
tua,51.16,51.3
"conta,",51.3,51.66
dois!,51.82,52.02
—,52.26,52.5
disse,52.5,52.64
o,52.64,52.8
sete.,52.8,53.18
—,54.24,54.3
Aí,54.3,54.5
é,54.5,54.66
com,54.66,54.8
ele,54.8,55.0
"sim,",55.0,55.26
senhor!,55.34,55.66
—,56.02,56.1
exclamou,56.1,56.5
o,56.5,56.64
cinco.,56.64,56.9
—,57.54,57.6
E,57.6,57.74
eu,57.74,57.86
digo-lhe,57.86,58.28
já!,58.28,58.5
Foi,59.14,59.46
por,59.46,59.64
ter,59.64,59.78
levado,59.78,60.14
à,60.14,60.24
cozinheira,60.24,60.76
bolbos,60.76,61.3
de,61.3,61.42
tulipa,61.42,61.92
em,61.92,62.08
vez,62.08,62.22
de,62.22,62.4
cebolas.,62.4,62.82
O,63.94,64.12
sete,64.12,64.66
mandou,64.66,65.02
o,65.02,65.1
pincel,65.1,65.38
a,65.38,65.5
chão,65.5,65.76
e,65.76,66.22
ia,66.22,66.38
a,66.38,66.52
"dizer,",66.52,66.78
—,67.5,67.58
"Bem,",67.58,67.78
isso,68.24,68.46
é,68.46,68.56
que,68.56,68.66
foi,68.66,68.88
uma,68.88,69.1
grande,69.1,69.4
"injustiça,",69.4,70.0
quando,70.48,70.78
reparou,70.78,71.32
em,71.32,71.7
"Alice,",71.7,72.04
que,72.38,72.68
estava,72.68,73.02
a,73.02,73.14
"observá-los,",73.14,73.8
e,74.04,74.24
depressa,74.24,74.72
recuperou,74.72,75.22
a,75.22,75.34
compostura.,75.34,75.92
Os,77.02,77.26
outros,77.26,77.56
também,77.56,77.9
olharam,77.9,78.46
em,78.46,78.6
volta,78.6,78.9
e,78.9,79.44
todos,79.44,79.68
circularam,79.68,80.26
numa,80.26,80.46
veinha,80.46,80.76
pronunciada.,80.76,81.42
—,82.8,82.9
Podiam,82.9,83.24
"dizer-me,",83.24,83.66
por,83.78,83.88
favor?,83.88,84.16
—,84.58,84.8
disse,84.8,84.98
"Alice,",84.98,85.34
um,85.54,85.7
pouco,85.7,85.9
timidamente.,85.9,86.46
—,87.24,87.32
Por,87.32,87.54
que,87.54,87.68
é,87.68,87.8
que,87.8,87.88
estão,87.88,88.06
a,88.06,88.18
pintar,88.18,88.48
essas,88.48,88.7
rosas?,88.7,89.12
Os,90.88,91.1
cinco,91.1,91.36
e,91.36,91.48
o,91.48,91.56
sete,91.56,91.9
não,91.9,92.06
disseram,92.06,92.42
"nada,",92.42,92.74
mas,93.2,93.52
olharam,93.52,93.9
para,93.9,94.08
o,94.08,94.18
dois.,94.18,94.38
Este,95.68,95.96
começou,95.96,96.42
em,96.42,96.58
voz,96.58,96.78
baixa.,96.78,97.16
—,98.64,98.72
"Bem,",98.72,98.92
sucede,99.4,99.74
o,99.74,99.9
"seguinte,",99.9,100.14
menino.,100.3,100.58
Esta,101.36,101.64
aqui,101.64,101.94
devia,101.94,102.58
ter,102.58,102.72
sido,102.72,102.96
uma,102.96,103.12
roseira,103.12,103.5
de,103.5,103.68
rosas,103.68,104.04
"vermelhas,",104.04,104.58
"mas,",105.32,105.54
por,105.64,105.8
"engano,",105.8,106.24
plantamos,107.04,107.64
uma,107.64,108.66
de,108.66,108.84
rosas,108.84,109.2
brancas.,109.2,109.66
E,110.24,110.44
se,110.44,110.54
a,110.54,110.7
rainha,110.7,110.94
"descobre,",110.94,111.58
manda-nos,112.0,112.42
cortar,112.42,112.72
as,112.72,112.94
"cabeças,",112.94,113.42
já,113.62,113.78
se,113.78,113.96
sabe.,113.96,114.22
—,115.22,115.3
Por,115.3,115.46
"isso,",115.46,115.78
bem,116.02,116.24
"vê,",116.24,116.44
menina.,116.56,116.86
Estamos,117.24,117.58
a,117.58,117.82
fazer,117.82,118.08
o,118.08,118.28
nosso,118.28,118.74
melhor,118.74,119.1
antes,119.1,119.84
que,119.84,120.04
ela,120.04,120.18
chegue.,120.18,120.56
Para.,120.66,121.02
Nesse,122.38,122.68
"momento,",122.68,123.14
o,123.3,123.4
"cinco,",123.4,123.68
que,123.8,123.9
estava,123.9,124.18
a,124.18,124.3
olhar,124.3,124.48
apreensivo,124.48,125.1
ao,125.1,125.22
redor,125.22,125.92
do,125.92,126.06
"jardim,",126.06,126.46
"gritou,",126.52,126.92
—,127.56,127.64
A,127.64,127.76
rainha!,127.76,128.32
A,128.46,128.68
rainha!,128.68,129.18
E,130.24,130.4
os,130.4,130.56
três,130.56,130.76
jardineiros,130.76,131.44
atiraram-se,131.44,132.7
imediatamente,132.7,133.56
de,133.56,133.76
brusos,133.76,134.1
para,134.1,134.28
o,134.28,134.38
chão.,134.38,134.58
Ouviu-se,135.58,136.04
o,136.04,136.18
som,136.18,136.32
de,136.32,136.48
muitos,136.48,136.72
"passos,",136.72,137.26
e,137.58,137.7
Alice,137.7,137.96
olhou,137.96,138.22
em,138.22,138.4
"volta,",138.4,138.68
desejosa,139.12,139.8
de,139.8,139.96
ver,139.96,140.12
a,140.12,140.26
rainha.,140.26,140.62
Primeiro,142.22,142.8
aproximaram-se,142.8,143.78
dez,143.78,144.02
soldados,144.02,144.52
com,144.52,144.76
"paus,",144.76,145.14
todos,145.74,146.1
com,146.1,146.3
a,146.3,146.4
mesma,146.4,146.64
forma,146.64,147.1
dos,147.1,147.38
três,147.38,147.62
"jardineiros,",147.62,148.28
compridos,148.74,149.38
e,149.38,149.84
"chatos,",149.84,150.32
com,150.72,150.88
as,150.88,151.02
