text,start,end
انتصبت,0.0,0.98
شجرة,0.98,1.28
ورد,1.28,1.66
ضخمة,1.66,2.06
بالقرب,2.06,2.48
من,2.48,2.68
مدخل,2.68,3.06
الحديقة,3.06,3.62
كانت,4.12,4.5
الورود,4.5,4.9
التي,4.9,5.18
تنمو,5.18,5.54
عليها,5.54,5.9
بيضاء,5.9,6.44
لكن,6.8,7.08
كان,7.08,7.36
أمامها,7.36,7.92
ثلاثة,7.92,8.64
جنائنيين,8.64,9.56
منهمكين,9.56,10.16
في,10.16,10.34
تلوين,10.34,10.68
تلك,10.68,10.9
الورود,10.9,11.3
الحمراء,11.3,11.78
ظنت,12.68,13.1
أليس,13.1,13.38
أنه,13.38,13.66
شيء,13.66,13.92
غريب,13.92,14.26
جدا,14.26,14.58
فاقتربت,15.26,15.88
لكي,15.88,16.18
تراقبهم,16.18,16.86
وما,17.42,17.68
أن,17.68,17.84
وصلت,17.84,18.2
إليهم,18.2,18.56
حتى,18.56,18.82
سمعت,18.82,19.12
أحدهم,19.12,19.52
يقول,19.52,19.88
انتبهي,20.18,20.66
الآن,20.66,20.88
يا,20.88,21.06
فايف,21.06,21.5
لا,21.5,21.96
تنثر,21.96,22.34
الدهان,22.34,22.78
علي,22.78,23.04
هكذا,23.04,23.72
قال,25.18,25.62
فايف,25.62,25.96
عب,25.96,26.18
بيسان,26.18,26.54
لم,27.06,27.26
أستطع,27.26,27.7
الحقول,27.7,28.06
دون,28.06,28.36
ذلك,28.36,28.8
لقد,28.8,29.32
دفع,29.32,29.62
سفين,29.62,30.12
كوعي,30.12,30.88
إذا,31.94,32.24
أذر,32.24,32.6
عليك,32.6,32.86
تطلع,32.86,33.24
سفين,33.24,33.52
وقال,33.52,33.96
هذا,34.32,34.62
صحيح,34.62,35.08
يا,35.08,35.22
فايف,35.22,35.62
دائما,35.62,36.32
تلقي,36.32,36.62
اللوم,36.62,36.86
على,36.86,37.06
الآخرين,37.06,37.68
قال,38.04,38.28
فايف,38.28,38.74
من,38.74,39.18
الأفضل,39.18,39.6
أن,39.6,39.74
لا,39.74,39.86
تتكلم,39.86,40.48
فقط,41.12,41.46
بالأن,41.46,41.76
سمعت,41.76,42.08
الملكة,42.08,42.5
تقول,42.5,42.76
أنك,42.76,43.06
تستحق,43.06,43.58
قطع,43.58,43.94
رأسك,43.94,44.4
قال,45.48,45.74
الذي,45.74,46.0
تحدث,46.0,46.52
أولا,46.52,47.0
