text,start,end
정원,0.0,0.88
입구에,0.88,1.36
커다란,1.36,1.8
장미나무,1.8,2.46
한,2.46,2.68
구루가,2.68,3.14
서,3.14,3.34
있었다.,3.34,3.88
장미꽃들은,4.32,5.22
모두,5.22,5.5
"하얀색이었는데,",5.5,6.7
적원사,7.08,7.6
세,7.6,7.78
명이,7.78,8.14
빨갛게,8.14,8.64
칠하르나,8.64,9.32
정신이,9.32,10.42
없었다.,10.42,10.8
이상한,11.44,11.96
생각이,11.96,12.32
든,12.32,12.54
앨리스는,12.54,13.06
자세히,13.06,13.5
보려고,13.5,13.78
가까이,13.78,14.26
다가갔다.,14.26,14.88
그러다,15.32,15.7
마침,15.7,16.16
그,16.16,16.38
중,16.38,16.56
한,16.56,16.76
정원사가,16.76,17.26
말하는,17.26,17.74
소리를,17.74,18.16
들었다.,18.16,18.58
조심해,19.06,19.58
파이브!,19.58,20.08
물감을,20.5,20.94
그렇게,20.94,21.3
튀기면,21.3,21.7
어떡해!,21.7,22.22
나도,22.86,23.18
어쩔,23.18,23.58
수가,23.58,23.74
없었어.,23.74,24.3
세,24.58,24.72
분이,24.72,25.06
내,25.06,25.24
팔꿈치를,25.24,26.24
쳤단,26.24,26.62
말이야.,26.62,26.96
파이브가,27.5,28.1
토라지며,28.1,28.72
말했다.,28.72,29.08
그러자,29.62,30.04
세,30.04,30.24
분이,30.24,30.56
고개를,30.56,30.92
들고는,30.92,31.42
수아,31.42,31.66
붙였다.,31.66,32.2
그래,32.62,32.88
"파이브,",32.88,33.44
언제나,33.62,34.04
제,34.04,34.36
잘못은,34.36,35.02
하나도,35.02,35.34
없지.,35.34,35.76
너야말로,36.24,36.82
가만히,36.82,37.3
있으는,37.3,37.68
게,37.68,37.78
좋을걸.,37.78,38.34
파이브가,38.7,39.24
말했다.,39.24,39.62
어제,40.92,41.2
여왕님이,41.2,41.82
널,41.82,42.1
보고,42.1,42.48
목이,42.48,42.88
날아가도,42.88,43.46
시원찮은,43.46,44.06
놈이라고,44.06,44.52
하셨단,44.52,45.08
말이야.,45.08,45.38
왜?,45.94,46.22
처음,46.74,47.02
말했던,47.02,47.42
정원사가,47.42,47.96
물었다.,47.96,48.4
그건,48.88,49.18
네가,49.18,49.44
상관할,49.44,49.98
일이,49.98,50.16
"아니야,",50.16,50.6
투.,50.72,50.9
세,51.66,51.86
분이,51.86,52.12
말했다.,52.12,52.48
"그래,",53.0,53.3
투의,53.54,53.9
일은,53.9,54.14
아니지.,54.14,54.58
