text,start,end
A,0.0,0.16
large,0.16,0.44
rose,0.44,0.68
tree,0.68,0.88
stood,0.88,1.1
near,1.1,1.26
the,1.26,1.38
entrance,1.38,1.68
of,1.68,1.9
the,1.9,2.02
garden.,2.02,2.32
The,2.96,3.16
roses,3.16,3.44
growing,3.44,3.74
on,3.74,3.92
it,3.92,4.0
were,4.0,4.12
"white,",4.12,4.38
but,4.74,4.94
there,4.94,5.06
were,5.06,5.2
three,5.2,5.4
gardeners,5.4,5.86
at,5.86,6.06
"it,",6.06,6.24
busily,6.28,6.72
painting,6.72,7.1
them,7.1,7.32
red.,7.32,7.56
Alice,8.66,9.0
thought,9.0,9.26
this,9.26,9.46
a,9.46,9.6
very,9.6,9.88
curious,9.88,10.34
"thing,",10.34,10.68
and,11.28,11.44
she,11.44,11.56
went,11.56,11.72
nearer,11.72,12.04
to,12.04,12.18
watch,12.18,12.4
them.,12.4,12.66
And,13.26,13.44
just,13.44,13.68
as,13.68,13.82
she,13.82,13.96
came,13.96,14.16
up,14.16,14.32
to,14.32,14.46
"them,",14.46,14.6
she,14.6,14.8
heard,14.8,15.02
one,15.02,15.22
of,15.22,15.34
them,15.34,15.46
"say,",15.46,15.76
"""'Look",16.38,16.62
out,16.62,16.82
"now,",16.82,17.0
Five!,17.1,17.38
"""'Don't",17.48,17.88
go,17.88,18.02
splashing,18.02,18.38
paint,18.38,18.72
over,18.72,18.96
me,18.96,19.12
like,19.12,19.36
that!',19.36,20.0
"""'I",20.74,20.94
couldn't,20.94,21.36
help,21.36,21.66
"it,'",21.66,22.32
said,22.32,22.6
Five,22.6,22.98
in,22.98,23.18
a,23.18,23.32
sulky,23.32,23.62
tone.,23.62,23.96
"""'Seven",24.44,24.88
jogged,24.88,25.26
my,25.26,25.42
"elbow,'",25.42,26.64
on,26.64,26.8
which,26.8,26.94
Seven,26.94,27.22
looked,27.22,27.44
up,27.44,27.6
and,27.6,27.72
"said,",27.72,27.94
"""'That's",28.0,28.44
"right,",28.44,28.64
"Five,",28.76,29.0
always,29.12,29.38
lay,29.38,29.56
the,29.56,29.72
blame,29.72,29.94
on,29.94,30.12
others!',30.12,30.9
"""'You'd",31.38,32.02
better,32.02,32.3
not,32.3,32.56
"talk,'",32.56,33.14
said,33.14,33.38
Five.,33.38,33.78
"""'I",34.48,34.7
heard,34.7,34.92
the,34.92,35.08
Queen,35.08,35.28
say,35.28,35.5
only,35.5,35.74
yesterday,35.74,36.2
"""'you",36.24,36.48
deserve,36.48,36.9
to,36.9,37.1
be,37.1,37.28
beheaded.',37.28,38.32
"""'What",38.86,39.18
for?',39.18,40.04
said,40.04,40.4
the,40.4,40.54
one,40.54,40.72
who,40.72,40.84
had,40.84,40.96
spoken,40.96,41.24
first.,41.24,41.72
"""'That's",42.12,43.26
none,43.26,43.56
of,43.56,43.7
your,43.7,43.96
"business,",43.96,44.44
"too,'",44.7,45.2
said,45.2,45.52
Seven.,45.52,45.86
"""'Yes,",46.58,46.92
it,46.96,47.1
is,47.1,47.32
his,47.32,47.5
"business,'",47.5,48.36
said,48.36,48.6
Five.,48.6,49.04
"""'And",49.08,49.5
I'll,49.5,49.74
tell,49.74,50.0
him,50.0,50.24
it,50.24,50.62
was,50.62,50.76
for,50.76,50.9
bringing,50.9,51.14
"""'the",51.18,51.34
cooked,51.34,51.6
tulip,51.6,51.96
roots,51.96,52.16
instead,52.16,52.48
of,52.48,52.68
onions.',52.68,53.62
"""'Seven",54.04,54.5
flung,54.5,54.9
down,54.9,55.08
his,55.08,55.22
brush,55.22,55.46
and,55.46,55.62
had,55.62,55.74
just,55.74,55.94
"begun,",55.94,56.24
"""'well,",56.62,56.84
of,56.96,57.14
all,57.14,57.46
the,57.46,57.62
unjust,57.62,58.06
"things,",58.06,58.54
"""'when",58.76,59.04
his,59.04,59.32
eye,59.32,59.68
