text,start,end
A,0.0,0.24
clear,0.24,0.58
and,0.58,0.8
joyous,0.8,1.22
day,1.22,1.44
it,1.44,1.62
"was,",1.62,1.98
and,2.08,2.18
out,2.18,2.32
on,2.32,2.46
the,2.46,2.58
wide,2.58,2.96
open,2.96,3.28
sea,3.28,3.64
thousands,3.64,4.14
upon,4.14,4.46
thousands,4.46,4.9
of,4.92,5.14
sparkling,5.14,5.6
"water-drops,",5.6,6.44
excited,6.5,6.86
by,6.86,7.08
getting,7.08,7.3
to,7.3,7.5
play,7.5,7.68
in,7.68,7.82
the,7.82,7.92
"ocean,",7.92,8.28
danced,8.78,9.16
all,9.16,9.42
around.,9.42,9.82
One,10.34,10.54
of,10.54,10.68
these,10.68,10.84
was,10.84,10.98
a,10.98,11.12
merry,11.12,11.3
little,11.3,11.52
fellow,11.52,11.84
named,11.84,12.16
"Aqua,",12.16,12.6
who,12.84,13.0
danced,13.0,13.34
on,13.34,13.48
the,13.48,13.62
silver,13.62,13.9
backs,13.9,14.3
of,14.3,14.48
the,14.48,14.57
fishes,14.57,14.92
as,14.92,15.12
they,15.12,15.26
plunged,15.26,15.72
up,15.72,15.88
and,15.88,16.02
down,16.02,16.22
in,16.22,16.36
the,16.36,16.44
"waves,",16.44,16.82
and,17.18,17.32
no,17.32,17.42
matter,17.42,17.64
how,17.64,17.88
high,17.88,18.1
he,18.1,18.26
sprung,18.26,18.6
he,18.6,18.72
always,18.72,19.08
came,19.08,19.36
down,19.36,19.58
again,19.58,19.88
into,19.88,20.1
his,20.1,20.32
mother's,20.32,20.68
lap.,20.68,21.0
His,21.42,21.66
"mother,",21.66,21.92
you,22.0,22.12
"know,",22.12,22.26
was,22.3,22.46
the,22.46,22.6
"ocean,",22.6,22.94
and,23.2,23.48
very,23.48,23.72
beautiful,23.72,24.16
she,24.16,24.4
looked,24.4,24.64
that,24.64,24.82
summer,24.82,25.12
day,25.12,25.36
in,25.36,25.56
her,25.56,25.68
dark,25.68,25.96
blue,25.96,26.18
dress,26.18,26.52
and,26.52,26.68
white,26.68,26.92
ruffles.,26.92,27.44
By,28.18,28.38
and,28.38,28.52
by,28.52,28.78
the,28.78,28.96
happy,28.96,29.22
water-drop,29.22,29.78
tired,29.78,30.08
of,30.08,30.26
his,30.26,30.4
"play,",30.4,30.76
and,31.14,31.28
looking,31.28,31.5
up,31.5,31.7
to,31.7,31.82
the,31.82,31.94
clear,31.94,32.16
sky,32.16,32.5
above,32.5,32.8
"him,",32.86,33.1
thought,33.38,33.58
he,33.58,33.72
would,33.72,33.86
like,33.86,34.02
to,34.02,34.14
have,34.14,34.34
a,34.34,34.5
sail,34.5,34.74
on,34.74,34.92
one,34.92,35.06
of,35.06,35.2
the,35.2,35.32
white,35.32,35.54
marshmallow-like,35.54,36.46
clouds,36.46,37.0
instead,37.32,37.6
of,37.6,37.78
spending,37.78,38.06
his,38.06,38.26
whole,38.26,38.46
life,38.46,38.72
in,38.72,38.86
the,38.86,38.96
ocean.,38.96,39.32
Of,39.86,40.06
the,40.06,40.2
"sky,",40.2,40.58
little,40.76,40.92
Aqua,40.92,41.28
had,41.28,41.48
always,41.48,41.76
been,41.76,41.96
"afraid,",41.96,42.34
but,42.82,42.96
he,42.96,43.08
decided,43.08,43.4
to,43.4,43.6
finally,43.6,43.9
face,43.9,44.24
his,44.24,44.42
demons,44.42,44.76
and,44.92,45.08
suggested,45.08,45.46
a,45.46,45.68
solution,45.68,46.1
involving,46.1,46.6
the,46.6,46.84
sun,46.84,47.06
carrying,47.06,47.46
him,47.46,47.7
up,47.7,47.84
to,47.84,47.96
the,47.96,48.1
sky,48.1,48.34
would,48.34,48.52
be,48.52,48.66
ideal.,48.66,49.12
The,49.54,49.9
sun,49.9,50.12
understood,50.12,50.6
Aqua's,50.6,51.04
request,51.04,51.42
came,51.42,51.72
from,51.72,51.9
his,51.9,52.06
"heart,",52.06,52.36
so,52.62,52.8
he,52.8,52.94
acquiesced,52.94,53.62
and,53.62,53.78
also,53.78,54.08
took,54.08,54.32
ever,54.32,54.58
so,54.58,54.78
many,54.78,55.04
other,55.04,55.3
"drops,",55.3,55.72
so,56.0,56.22
that,56.22,56.38
Aqua,56.38,56.68
might,56.68,56.92
not,56.92,57.08
be,57.08,57.26
lonesome,57.26,57.7
on,57.7,57.86
the,57.86,57.98
way.,57.98,58.22
It,58.94,59.1
was,59.1,59.24
only,59.24,59.46
the,59.46,59.64
sun,59.64,59.86
that,59.86,60.04
knew,60.04,60.2
"this,",60.2,60.46
"however,",60.56,60.9
for,61.3,61.44
all,61.44,61.6
the,61.6,61.72
other,61.72,61.88
drops,61.88,62.22
had,62.22,62.38
been,62.38,62.52
changed,62.52,62.9
into,62.9,63.07
fine,63.07,63.44
mist,63.44,63.72
or,63.72,63.9
"vapor,",63.9,64.22
and,64.4,64.52
Aqua,64.52,64.78
could,64.78,64.98
not,64.98,65.16
see,65.16,65.38
them.,65.38,65.6
Do,66.14,66.32
you,66.32,66.42
know,66.42,66.52
what,66.52,66.64
vapor,66.64,66.94
is?,66.94,67.28
If,67.66,67.88
you,67.88,68.0
breathe,68.0,68.3
into,68.3,68.54
the,68.54,68.7
air,68.7,68.96
when,68.96,69.18
it,69.18,69.3
is,69.3,69.42
cold,69.42,69.7
"enough,",69.7,70.04
you,70.2,70.32
will,70.32,70.46
see,70.46,70.7
it,70.7,70.88
coming,70.88,71.08
out,71.08,71.28
of,71.28,71.38
your,71.38,71.48
mouth,71.48,71.76
thick,71.76,72.08
and,72.08,72.24
fast,72.24,72.6
like,72.6,72.84
steam.,72.84,73.28
When,73.86,74.06
the,74.06,74.2
vapor,74.2,74.46
is,74.46,74.64
quite,74.64,74.88
near,74.88,75.08
the,75.08,75.24
"earth,",75.24,75.56
we,75.74,75.88
call,75.88,76.12
it,76.12,76.26
fog.,76.26,76.72
Into,77.26,77.56
vapor,77.56,77.98
the,77.98,78.24
water-drops,78.24,79.02
that,79.02,79.14
danced,79.14,79.48
in,79.48,79.66
the,79.66,79.78
ocean,79.78,80.06
had,80.06,80.24
been,80.24,80.42
"changed,",80.42,80.94
because,81.4,81.72
in,81.72,81.94
their,81.94,82.04
own,82.04,82.3
shape,82.3,82.66
they,82.66,82.82
were,82.82,82.96
too,82.96,83.14
heavy,83.14,83.44
for,83.44,83.62
the,83.62,83.8
sunbeams,83.8,84.3
that,84.3,84.5
the,84.5,84.64
sun,84.64,84.86
let,84.86,85.06
