text,start,end
Call,0.0,0.58
the,0.58,0.8
first,0.8,1.08
witness,1.08,1.6
said,1.6,2.36
the,2.36,2.52
king,2.52,2.76
and,2.76,3.56
the,3.56,3.66
white,3.66,3.86
rabbit,3.86,4.14
blew,4.14,4.36
three,4.36,4.58
blasts,4.58,4.98
on,4.98,5.06
the,5.06,5.16
trumpet,5.16,5.48
and,5.48,5.76
called,5.76,6.02
out,6.02,6.3
first,6.3,7.0
witness,7.0,7.34
The,8.58,8.92
first,8.92,9.2
witness,9.2,9.52
was,9.52,9.78
the,9.78,9.92
hatter,9.92,10.2
He,10.98,11.14
came,11.14,11.4
in,11.4,11.54
with,11.54,11.7
a,11.7,11.82
teacup,11.82,12.16
in,12.16,12.28
one,12.28,12.44
hand,12.44,12.76
and,12.76,13.0
a,13.0,13.12
piece,13.12,13.28
of,13.28,13.44
bread,13.44,13.66
and,13.66,13.84
butter,13.84,14.06
in,14.06,14.22
the,14.22,14.34
other.,14.34,14.5
I,14.7,14.98
Beg,16.06,16.38
your,16.38,16.48
pardon,16.48,16.8
your,16.8,17.0
majesty.,17.0,17.46
He,17.66,18.1
began,18.1,18.46
for,18.46,19.34
bringing,19.34,19.6
these,19.6,19.82
in,19.82,20.02
but,20.02,20.24
I,20.24,20.38
hadn't,20.38,20.68
quite,20.68,20.86
finished,20.86,21.16
my,21.16,21.36
tea,21.36,21.6
when,21.6,21.78
I,21.78,21.88
was,21.88,22.02
sent,22.02,22.24
for,22.24,22.46
You,23.66,23.9
ought,23.9,24.28
to,24.28,24.44
have,24.44,24.64
finished,24.64,25.28
said,25.28,25.92
the,25.92,26.08
king.,26.08,26.32
When,26.62,27.22
did,27.22,27.4
you,27.4,27.56
begin?,27.56,27.82
The,27.94,29.5
hatter,29.5,29.82
looked,29.82,30.02
at,30.02,30.14
the,30.14,30.24
March,30.24,30.48
hair,30.48,30.7
who,30.7,30.94
had,30.94,31.06
followed,31.06,31.38
him,31.38,31.6
into,31.6,31.78
the,31.78,31.94
court,31.94,32.24
